Image,Label
benign0,1
benign1,1
benign10,1
benign100,1
benign101,1
benign102,1
benign103,1
benign104,1
benign105,1
benign106,1
benign107,1
benign108,1
benign109,1
benign11,1
benign110,1
benign111,1
benign112,1
benign113,1
benign114,1
benign115,1
benign116,1
benign117,1
benign118,1
benign119,1
benign12,1
benign120,1
benign121,1
benign122,1
benign123,1
benign124,1
benign125,1
benign126,1
benign127,1
benign128,1
benign129,1
benign13,1
benign130,1
benign131,1
benign132,1
benign133,1
benign134,1
benign135,1
benign136,1
benign137,1
benign138,1
benign139,1
benign14,1
benign140,1
benign141,1
benign142,1
benign143,1
benign144,1
benign145,1
benign146,1
benign147,1
benign148,1
benign149,1
benign15,1
benign150,1
benign151,1
benign152,1
benign153,1
benign154,1
benign155,1
benign156,1
benign157,1
benign158,1
benign159,1
benign16,1
benign160,1
benign161,1
benign162,1
benign163,1
benign164,1
benign165,1
benign166,1
benign167,1
benign168,1
benign169,1
benign17,1
benign170,1
benign171,1
benign172,1
benign173,1
benign174,1
benign175,1
benign176,1
benign177,1
benign178,1
benign179,1
benign18,1
benign180,1
benign181,1
benign182,1
benign183,1
benign184,1
benign185,1
benign186,1
benign187,1
benign188,1
benign189,1
benign19,1
benign190,1
benign191,1
benign192,1
benign193,1
benign194,1
benign195,1
benign196,1
benign197,1
benign198,1
benign199,1
benign2,1
benign20,1
benign200,1
benign201,1
benign202,1
benign203,1
benign204,1
benign205,1
benign206,1
benign207,1
benign208,1
benign209,1
benign21,1
benign210,1
benign211,1
benign212,1
benign213,1
benign214,1
benign215,1
benign216,1
benign217,1
benign218,1
benign219,1
benign22,1
benign220,1
benign221,1
benign222,1
benign223,1
benign224,1
benign225,1
benign226,1
benign227,1
benign228,1
benign229,1
benign23,1
benign230,1
benign231,1
benign232,1
benign233,1
benign234,1
benign235,1
benign236,1
benign237,1
benign238,1
benign239,1
benign24,1
benign240,1
benign241,1
benign242,1
benign243,1
benign244,1
benign245,1
benign246,1
benign247,1
benign248,1
benign249,1
benign25,1
benign250,1
benign251,1
benign252,1
benign253,1
benign254,1
benign255,1
benign256,1
benign257,1
benign258,1
benign259,1
benign26,1
benign260,1
benign261,1
benign262,1
benign263,1
benign264,1
benign265,1
benign266,1
benign267,1
benign268,1
benign269,1
benign27,1
benign270,1
benign271,1
benign272,1
benign273,1
benign274,1
benign275,1
benign276,1
benign277,1
benign278,1
benign279,1
benign28,1
benign280,1
benign281,1
benign282,1
benign283,1
benign284,1
benign285,1
benign286,1
benign287,1
benign288,1
benign289,1
benign29,1
benign290,1
benign291,1
benign292,1
benign293,1
benign294,1
benign295,1
benign296,1
benign297,1
benign298,1
benign299,1
benign3,1
benign30,1
benign300,1
benign301,1
benign302,1
benign303,1
benign304,1
benign305,1
benign306,1
benign307,1
benign308,1
benign309,1
benign31,1
benign310,1
benign311,1
benign312,1
benign313,1
benign314,1
benign315,1
benign316,1
benign317,1
benign318,1
benign319,1
benign32,1
benign320,1
benign321,1
benign322,1
benign323,1
benign324,1
benign325,1
benign326,1
benign327,1
benign328,1
benign329,1
benign33,1
benign330,1
benign331,1
benign332,1
benign333,1
benign334,1
benign335,1
benign336,1
benign337,1
benign338,1
benign339,1
benign34,1
benign340,1
benign341,1
benign342,1
benign343,1
benign344,1
benign345,1
benign346,1
benign347,1
benign348,1
benign349,1
benign35,1
benign350,1
benign351,1
benign352,1
benign353,1
benign354,1
benign355,1
benign356,1
benign357,1
benign358,1
benign359,1
benign36,1
benign360,1
benign361,1
benign362,1
benign363,1
benign364,1
benign365,1
benign366,1
benign367,1
benign368,1
benign369,1
benign37,1
benign370,1
benign371,1
benign372,1
benign373,1
benign374,1
benign375,1
benign376,1
benign377,1
benign378,1
benign379,1
benign38,1
benign380,1
benign381,1
benign382,1
benign383,1
benign384,1
benign385,1
benign386,1
benign387,1
benign388,1
benign389,1
benign39,1
benign390,1
benign391,1
benign392,1
benign393,1
benign394,1
benign395,1
benign396,1
benign397,1
benign398,1
benign399,1
benign4,1
benign40,1
benign41,1
benign42,1
benign43,1
benign44,1
benign45,1
benign46,1
benign47,1
benign48,1
benign49,1
benign5,1
benign50,1
benign51,1
benign52,1
benign53,1
benign54,1
benign55,1
benign56,1
benign57,1
benign58,1
benign59,1
benign6,1
benign60,1
benign61,1
benign62,1
benign63,1
benign64,1
benign65,1
benign66,1
benign67,1
benign68,1
benign69,1
benign7,1
benign70,1
benign71,1
benign72,1
benign73,1
benign74,1
benign75,1
benign76,1
benign77,1
benign78,1
benign79,1
benign8,1
benign80,1
benign81,1
benign82,1
benign83,1
benign84,1
benign85,1
benign86,1
benign87,1
benign88,1
benign89,1
benign9,1
benign90,1
benign91,1
benign92,1
benign93,1
benign94,1
benign95,1
benign96,1
benign97,1
benign98,1
benign99,1
carcinoma0,0
carcinoma1,0
carcinoma10,0
carcinoma100,0
carcinoma101,0
carcinoma102,0
carcinoma103,0
carcinoma104,0
carcinoma105,0
carcinoma106,0
carcinoma107,0
carcinoma108,0
carcinoma109,0
carcinoma11,0
carcinoma110,0
carcinoma112,0
carcinoma113,0
carcinoma114,0
carcinoma115,0
carcinoma116,0
carcinoma117,0
carcinoma118,0
carcinoma119,0
carcinoma12,0
carcinoma120,0
carcinoma121,0
carcinoma122,0
carcinoma123,0
carcinoma124,0
carcinoma125,0
carcinoma126,0
carcinoma127,0
carcinoma128,0
carcinoma129,0
carcinoma13,0
carcinoma130,0
carcinoma131,0
carcinoma132,0
carcinoma133,0
carcinoma134,0
carcinoma135,0
carcinoma136,0
carcinoma137,0
carcinoma138,0
carcinoma139,0
carcinoma14,0
carcinoma140,0
carcinoma141,0
carcinoma142,0
carcinoma143,0
carcinoma144,0
carcinoma145,0
carcinoma146,0
carcinoma147,0
carcinoma148,0
carcinoma149,0
carcinoma15,0
carcinoma150,0
carcinoma151,0
carcinoma152,0
carcinoma153,0
carcinoma154,0
carcinoma155,0
carcinoma156,0
carcinoma157,0
carcinoma158,0
carcinoma159,0
carcinoma16,0
carcinoma160,0
carcinoma161,0
carcinoma162,0
carcinoma163,0
carcinoma164,0
carcinoma165,0
carcinoma166,0
carcinoma167,0
carcinoma168,0
carcinoma169,0
carcinoma17,0
carcinoma170,0
carcinoma171,0
carcinoma172,0
carcinoma173,0
carcinoma174,0
carcinoma175,0
carcinoma176,0
carcinoma177,0
carcinoma178,0
carcinoma179,0
carcinoma18,0
carcinoma180,0
carcinoma181,0
carcinoma182,0
